instruction,input,output
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(G) with respect to the Settlement Currency:,(Ж) применительно к Расчетной валюте:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(aa) the Interest Rate for the first Interest Period;,(аа) Процентная ставка первого Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(bb) the Potential Interest Rate Revision Date;,(бб) Потенциальная дата пересмотра процентной ставки;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(H) a Party entitled to determine the Performance Date, and the Potential Performance Date for each such Party.","(З) сторона, имеющая право определить Дату исполнения, и Потенциальная дата исполнения для каждой такой стороны."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(I) Method for determining the spot rate.”,"(И) Способ определения курса спот.""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Clause 2.3 of the Terms and Conditions of Foreign Exchange Transactions shall be supplemented with the following provisions:,Пункт 2.3 Условий валютных сделок дополнить следующими положениями:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",“(e) Other terms shall be agreed upon as essential terms of the Conversion Transaction or Foreign Exchange Forward Transaction at the request of one of the Parties.”.,"""(д) Другие условия подлежат согласованию в качестве существенных условий Конверсионной сделки или Сделки валютный форвард по требованию одной из сторон.""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",8.9 Clause 2.4 of the Terms and Conditions of Foreign Exchange Transactions shall not apply to the Foreign Exchange Open Forward Transactions.,8.9 Пункт 2.4 Условий валютных сделок не подлежит применению к Сделкам открытый валютный форвард.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","8.10 Sub-clause (bb), sub-clause (A) and sub-clause (bb), sub-clause (B), clause 2.4(c) of the Terms and Conditions of Foreign Exchange Transactions shall be amended to read as follows:",8.10 Подпункт (бб) подпункта (А) и подпункт (бб) подпункта (Б) пункта 2.4(в) Условий валютных сделок изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“(bb) the equivalent of this amount in the Payment Currency at the exchange rate, the method of determination of which is specified for these purposes in the Confirmation (if the Payment Currency is a currency not included in the Currency Pair).”.","""(бб) эквивалент этой суммы в Валюте платежа по обменному курсу, способ определения которого указан для этих целей в Подтверждении (если Валютой платежа является валюта, не входящая в Валютную пару).""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",8.11 Clause 2 of the Terms and Conditions of Foreign Exchange Transactions shall be supplemented with the following clause 2.5:,8.11 Пункт 2 Условий валютных сделок дополнить следующим пунктом 2.5:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",“2.5 Foreign Exchange Open Forward Transactions,"""2.5 Сделки открытый валютный форвард"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Definitions,Определения
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(а) For the purposes of the Foreign Exchange Open Forward Transaction, the following terms shall have the following meanings:",(а) Применительно к Сделке открытый валютный форвард следующие термины имеют следующие значения:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(А) Interest Coefficient, as applied to the Interest Period, means the value calculated using the following formula:","(А) Процентный фактор применительно к Процентному периоду означает значение, рассчитываемое по следующей формуле:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the Interest Coefficient of the i-th Interest Period;,Процентный фактор i-го Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","in relation to the cash-settled foreign exchange open forward Transaction, the Interest Rate of the i-th Interest Period in relation to the Settlement Currency;",применительно к Сделке открытый расчетный валютный форвард - Процентная ставка i-го Процентного периода применительно к Расчетной валюте;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the start date of the i-th Interest Period;,дата начала i-го Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the end date of the i-th Interest Period;,дата окончания i-го Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","in relation to the cash-settled foreign exchange open forward Transaction, the Interest Base Amount in relation to the Settlement Currency;",применительно к Сделке открытый расчетный валютный форвард - База начисления процентов применительно к Расчетной валюте;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the sequence number of the Interest Period;,порядковый номер Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","in relation to the cash-settled foreign exchange open forward Transaction, the Interest Rate of the i-th Interest Period in relation to the Base Currency;",применительно к Сделке открытый расчетный валютный форвард - Процентная ставка i-го Процентного периода применительно к Базовой валюте;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","in relation to the cash-settled foreign exchange open forward Transaction, the Interest Base Amount in relation to the Base Currency.",применительно к Сделке открытый расчетный валютный форвард - База начисления процентов применительно к Базовой валюте.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(C) The terms “Interest Base Amount”, “Performance Date”, “Potential Interest Rate Revision Date”, “Interest Rate”, “Interest Period”, “Settlement Cycle”, “Performance Date Notice”, and “Settlement Notice” shall have the meaning specified in clause 7.3, Article 7 of the Master Agreement.","(В) Термины ""База начисления процентов"", ""Дата исполнения"", ""Потенциальная дата пересмотра процентной ставки"", ""Процентная ставка"", ""Процентный период"", ""Расчетный цикл"", ""Уведомление о дате исполнения"" и ""Уведомление о расчете"" имеют значение, указанное в пункте 7.3 статьи 7 Генерального соглашения."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Procedure for Settlements under the Cash-Settled Currency Open Forward Transactions,Порядок осуществления расчетов по Сделкам открытый расчетный валютный форвард
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(b) The payment amount in relation to the cash-settled currency open forward Transaction, unless otherwise agreed upon by the Parties in respect of the Transaction, is calculated according to the following formula:","(б) Сумма платежа применительно к Сделке открытый расчетный валютный форвард, если в отношении Сделки сторонами не согласовано иное, рассчитывается по следующей формуле:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the payment amount;,Сумма платежа;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the nominal amount in the base currency;,Номинальная сумма в базовой валюте;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the forward rate;,Форвардный курс;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the Interest Coefficient of the i-th Interest Period;,Процентный фактор i-го Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the spot rate;,Курс спот;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the sequence number of the Interest Period;,порядковый номер Процентного периода;
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the number of the Interest Periods for the Transaction.,количество Процентных периодов по Сделке.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(d) On the Payment Date for the cash-settled currency open forward Transaction:,(г) В Дату платежа по Сделке открытый расчетный валютный форвард:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(А) if the Payment Amount is positive, the Buyer of the settlement currency shall pay the Seller of the Settlement Currency:","(А) если Сумма платежа имеет положительное значение, Покупатель расчетной валюты обязан уплатить Продавцу расчетной валюты:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(aa) this amount in the Settlement Currency (if the Settlement Currency is the Payment Currency); or,(аа) эту сумму в Расчетной валюте (если Расчетная валюта является Валютой платежа); или
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(bb) the equivalent of this amount in the Payment Currency at the exchange rate, the method of determination of which is specified for these purposes in the Confirmation;","(бб) эквивалент этой суммы в Валюте платежа по обменному курсу, способ определения которого указан для этих целей в Подтверждении;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(B) if the Payment Amount is negative, the Seller of the Settlement Currency shall pay the Buyer of the Settlement Currency the absolute value of:","(Б) если Сумма платежа имеет отрицательное значение, Продавец расчетной валюты обязан уплатить Покупателю расчетной валюты абсолютную величину:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(aa) this amount in the Settlement Currency (if the Settlement Currency is the Payment Currency); or,(аа) этой суммы в Расчетной валюте (если Расчетная валюта является Валютой платежа); или
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(bb) the equivalent of this amount in the Payment Currency at the exchange rate, the method of determination of which is specified for these purposes in the Confirmation.","(бб) эквивалент этой суммы в Валюте платежа по обменному курсу, способ определения которого указан для этих целей в Подтверждении."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(e) The Payment Amount in relation to the cash-settled currency open forward Transaction is calculated by the Settlement Agent on the Valuation Date and specified in the Settlement Notice.,(д) Сумма платежа применительно к Сделке открытый расчетный валютный форвард рассчитывается Расчетным агентом в Дату оценки и указывается в Уведомлении о расчете.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(f) The Calculation Notice shall also contain information on the value of the Spot Rate used in the calculation of the Payment Amount.,"(е) Уведомление о расчете должно также содержать информацию о значении Курса спот, использованного при расчете Суммы платежа."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(g) The Settlement Agent shall calculate the Payment Amount and send the Calculation Notice to the Parties (or to the other Party if the Settlement Agent is one of the Parties) no later than the Business Day following the Valuation Date or the Payment Date (whichever occurs earlier).,"(ж) Расчетный агент обязан осуществить расчет Суммы платежа и направить Сторонам (либо другой Стороне, если Расчетным агентом является одна из Сторон) Уведомление о расчете не позднее Рабочего дня, следующего за Датой оценки, или Даты платежа (в зависимости от того, какая дата наступила ранее)."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(h) No later than the Business Day following the date Party B receives the Settlement Notice, Party B shall sign the received Settlement Notice and send it to Party A.”.","(з) Не позднее Рабочего дня, следующего за датой получения Стороной Б Уведомления о расчете, Сторона Б обязана подписать полученное Уведомление о расчете и направить его Стороне А.""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","8.12 For the purposes of Article 7 of the Terms and Conditions of Foreign Exchange Transactions, unless otherwise provided for in the Confirmation or otherwise agreed upon by the Parties with respect to the Foreign Exchange Forward Transaction:","8.12 Для целей статьи 7 Условий валютных сделок, если применительно к Сделке валютный форвард иное не предусмотрено Подтверждением или иным образом не согласовано сторонами:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(а) the Disruption Events specified in clauses 7.1(a)-(c) of the Terms and Conditions of Foreign Exchange Transactions shall apply to such a Transaction;,"(а) к такой Сделке подлежат применению События, препятствующие исполнению, указанные в пунктах 7.1(а)-(в) Условий валютных сделок;"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(b) it shall be deemed that the Parties have provided for the “Determination of the Disruption Event by the Settlement Agent” in the Confirmation related to such a Transaction; and,"(б) считается, что в Подтверждении, которое относится к такой Сделке, стороны предусмотрели ""Определение События, препятствующего исполнению, Расчетным агентом""; и"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(c) it shall be deemed that the Parties have provided for the following Disruption Event Alternative in the Confirmation related to such a Transaction: (A) with respect to the Disruption Event specified in clause 7.1(a) of the Terms and Conditions of Foreign Exchange Transactions, Payment of Ruble Equivalent, and (B) with respect to the Disruption Events specified in clauses 7.1(b)-(c) of the Terms and Conditions of Foreign Exchange Transactions, Determination of the Spot Rate by the Settlement Agent.","(в) считается, что в Подтверждении, которое относится к такой Сделке, стороны предусмотрели в качестве Альтернативы на случай, препятствующий исполнению, (А) применительно к Событию, препятствующему исполнению, указанному в пункте 7.1(а) Условий валютных сделок, Выплату эквивалента в рублях и (Б) применительно к Событиям, препятствующим исполнению, указанным в пунктах 7.1(б)-(в) Условий валютных сделок, Определение курса спот расчетным агентом."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",8.13 Appendix 3 of the Terms and Conditions of Foreign Exchange Transactions are not applicable to the Foreign Exchange Open Forward Transactions.,8.13 Приложение 3 Условий валютных сделок не подлежат применению к Сделкам открытый валютный форвард.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",9. Conclusion of the Master Agreement,9. Заключение Генерального соглашения
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","9.1 This Master Agreement is an accession agreement within the meaning of this term, as defined in Article 428 of the Civil Code of the Russian Federation No. 51-FZ dated November 30, 1994, as amended and supplemented.","9.1 Настоящее Генеральное соглашение является договором присоединения в значении данного термина, определенного в статье 428 Гражданского кодекса Российской Федерации от 30.11.1994 N 51-ФЗ с изменения и дополнениями."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","Party A shall send to Party B an offer to conclude this Master Agreement from the domain ____, a PDF or WORD file containing an electronic image of the Master Agreement in text format, as well as the Statement of Accession form, at the email address of Party B.","Сторона А направляет Стороне Б оферту на заключение настоящего Генерального соглашения путем направления с домена ____ PDF или WORD файла, содержащего электронный образ Генерального соглашения в текстовом формате, а также форму Заявления о присоединении, на электронную почту Стороны Б."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",This Master Agreement is concluded by acceptance by Party B of Party A’s offer to conclude this Master Agreement on the terms and conditions contained herein.,"Настоящее Генеральное соглашение заключается путем акцепта Стороной Б оферты Стороны А на заключение настоящего Генерального соглашения на условиях, содержащихся в настоящем документе."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Party B shall be deemed to have accepted Party A’s offer to enter into the Master Agreement at the time Party B performs the last of the below actions:,Сторона Б считается акцептовавшей оферту Стороны А на заключение Генерального соглашения в момент совершения Стороной Б последнего из следующих действий:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","A) signature with an enhanced qualified electronic signature of an authorized person of Party B and sending by Party B to Party A Statement of Accession in the form set out in Appendix No. 2 to this Master Agreement (hereinafter referred to as the “Statement of Accession”) in the form of an electronic document via the Diadoc electronic document management system with an attachment, when required in accordance with the legislation of the Russian Federation, of a machine-readable power of attorney, as well as the text of this Master Agreement,","А) подписания усиленной квалифицированной электронной подписью уполномоченного лица Стороны Б и направления Стороной Б Стороне А Заявления о присоединении по форме в Приложении №2 к настоящему Генеральному соглашению (далее – «Заявление о присоединении») в виде электронного документа по системе электронного документооборота «Диадок» с приложением, когда это требуется в соответствии с законодательством РФ, машиночитаемой доверенности, а также текста настоящего Генерального соглашения,"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","signature by an authorized person of Party B in the original on paper of the Statement of Accession, with the text of the Master Agreement attached, and providing it to Party A,","подписания уполномоченным лицом Стороны Б в оригинале на бумажном носителе Заявления о присоединении, с приложением текста Генерального соглашения, и предоставление его Стороне А,"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","B) providing by Party B to Party A with documents and information determined by Party A in accordance with the legislation of the Russian Federation for the purposes of identifying Party B, its representatives, beneficiaries, as well as those specified in the Master Agreement.","Б) предоставления Стороной Б Стороне А документов и сведений, определяемых Стороной А в соответствии с законодательством РФ для целей идентификации Стороны Б, ее представителей, выгодоприобретателей, а также указанных в Генеральном соглашении."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",9.2. The Statement of Accession shall acquire legal force from the time of its registration by Party A.,9.2. Заявление о присоединении приобретает юридическую силу с момента его регистрации Стороной А.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",9.3. Party A shall notify Party B of the fact of Party A’s registration of the Statement of Accession by:,9.3. О факте регистрации Стороной А Заявления о присоединении Сторона А уведомляет Сторону Б путем:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(a) signature by Party A of the Statement of Accession in the form of an Electronic Document sent via the Diadoc electronic document management system. The date of registration/acceptance shall be the date of signature by Party A; or,"(а) подписания Стороной А Заявления о присоединении в виде Электронного документа, направленного по системе электронного документооборота «Диадок». Датой регистрации / принятия будет являться дата подписания Стороной А; или"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",(b) sending to Party B a copy of the Statement of Accession signed by Party B with a mark made by Party A indicating its registration (if there is a corresponding request from Party B) according to the procedure specified in clause 9.5 below. Party A shall specify the date of acceptance (registration) of the Statement of Accession.,"(б) направления Стороне Б копии Заявления о присоединении, подписанного Стороной Б с отметкой Стороны А о его о регистрации (при наличии соответствующего запроса Стороны Б) в порядке, предусмотренном п. 9.5 ниже. Сторона А указывает дату принятия (регистрации) Заявления о присоединении."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","9.4. If Party B sends to Party A the Statement of Accession signed by an authorized representative of Party B, in the original on paper, all pages, including the Master Agreement form, shall be stapled, numbered and affixed with the signature and seal of the authorized representative of Party B.","9.4. В случае, если Сторона Б направляет Стороне А Заявление о присоединении, подписанное уполномоченным представителем Стороны Б, в оригинале на бумажном носителе все страницы, включаю форму Генерального соглашения, должны быть сшиты, пронумерованы и скреплены подписью и печатью уполномоченного представителя Стороны Б."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",9.5. A copy of the Statement of Accession with a registration mark by Party A shall be sent to Party B within 5 (five) Business Days from the date of receipt of the corresponding request from Party B. The date of conclusion of the Master Agreement shall be the date of registration (acceptance) of the Statement of Accession by Party A.,9.5. Копия Заявления о присоединении с отметкой о регистрации Стороной А направляется Стороне Б в течение 5 (пяти) Рабочих дней с даты получения соответствующего запроса от Стороны Б. Датой заключения Генерального соглашения является дата регистрации (принятия) Стороной А Заявления о присоединении.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","9.6 The venue of conclusion of the Master Agreement shall be the city of Moscow, Russian Federation.","9.6 Местом заключения Генерального соглашения считается город Москва, Российская Федерация."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","9.7 A Statement of Accession sent using the Diadoc electronic document management system shall be equivalent to the corresponding documents on paper, signed with the handwritten signatures of the Parties, affixed with the Parties’ seals (if any).","9.7 Заявление о присоединении, направленное с использованием системы электронного документооборота «Диадок», является равнозначной соответствующим документам на бумажном носителе, подписанным собственноручными подписями Сторон, заверенному печатями Сторон (при наличии)."
